quest;answer;source
Какое основное уравнение в классической физике?;Второй закон Ньютона;initial
А если прослушать первый семестр курса аналитической механики?;Уравнение Лагранжа;initial
А если закрыть весь годовой курс теормеха?;Уравнения Гамильтона;initial
Перейдём от частиц к полям. Какие уравнения являются фундаментальными для электромагнитного взаимодействия?;Уравнения Максвелла;initial
Чему равен поток вектора магнитной напряжённости через любую замкнутую поверхность?;Нулю;initial
Из ответа на прошлый вопрос следует один примечательный факт. Что это за факт?;Отсутствие магнитных зарядов;initial
Назовите теперь основное уравнение квантовой механики (через "е");Уравнение Шредингера;initial
На самом деле-то их два. Что позволяет найти стационарное (писать ответ полностью)?;Собственные состояния оператора Гамильтона;initial
Для каких атомов можно точно решить рассматриваемое уравнение (одним словом)?;Водородоподобных;initial
Какое уравнение является обобщением предыдущего для учитывания релятивизма?;Уравнение Дирака;initial
Свет это частица или волна?;Глупые у Вас вопросы;user